name,regisration_number,added_date,websites
TG Reliance Sdn Bhd (1086255-A),,9/1/2015,[]
The Gold Guarantee,,11/29/2012,[]
Times Travel & Explorer Sdn Bhd (1041742-H),,4/9/2018,[]
Titan Group Sdn. Bhd (823732-U),,7/13/2012,[]
TP Eagle Venture Sdn Bhd (1114378-M),,7/12/2016,['www.tpeagles.com']
Trillion Venture,,12/23/2015,['https://trivfx.com']
Triple One Management Pte Ltd ( T1FX),,2/25/2016,['http://www.t1fx.com']
Tü-E Capital Berhad (806096-H),,3/13/2018,"['https://tu-e.capital/', 'http://www.tu-e.com.my/']"
TukarGold.net,,7/13/2012,['www.tukargold.net']
Toga Capital Sdn Bhd (1132072-MD),,8/28/2017,"['http://togacapital.com.my/\xa0', 'https://www.facebook.com/TogaCapitalLimited/\xa0']"
Toga Company Limited,,8/28/2017,[]
TopproFX,,8/28/2017,"['http://www.topprofx.com/about.php\xa0', 'https://www.facebook.com/tpfxmalaysia/?hc_ref=SEARCH&fref=nf\xa0']"
UER Gold,,7/25/2014,['https://uergold.com/profitsharing.php-inaccessible']
UFUNCLUB,,7/25/2014,"['www.jutawanufunclub.com', 'ufunclub2me.bolgspot.com']"
Ultimate Power Profits,,10/16/2012,['www.ultimatepowerprofits.yolasite.com']
United American Traders Council,,11/12/2013,['www.uatconline.com']
Uni Argrow (Cambodia) Co. Ltd,,12/30/2014,"['www.argrow.biz', 'www.unicapasia.net']"
Uncang Teguh Resources  (0000102116-T),,7/25/2014,[]
Urustabil Sdn Bhd (545426-X),,9/27/2012,[]
VC Gold Sdn Bhd (722295-T),,7/13/2012,[]
Virgin Gold Mining Corporation,,7/13/2012,[]
VenusFX,,6/6/2016,['www.venusfx.com']
V Save FX Trading (002482098 - K),,9/19/2017,[]
V Sim Marketing (002283635 - U),,9/19/2017,[]
Verger Management Services,,7/25/2014,[]
VI Profit Galaxy (DSV Cryptoclub & LUX Galaxies),,8/29/2018,"['https://luxgalaxies.com/', 'https://www.lavidacoin.com/\xa0\xa0']"
Wadiah Trading,,12/23/2015,['www.wadiahtrading.com']
Water Beaute World Berhad,,5/9/2017,"['https://wbwglobal.wordpress.com/', 'http://wbwig.blogspot.my/']"
Water World Marketing  (CA0177161-P),,7/25/2014,[]
Webster Trade Consulting Sdn Bhd (1171420D),,2/24/2017,"['www.wtcpro.com', 'http://wtcprolimited.blogspot.my']"
Westrank Equity Sdn Bhd (1046449-A),,9/25/2013,[]
Windsor Fragrance Sdn Bhd (599208-H),,10/20/2014,[]
WMS Capital Ltd (Labuan),,8/28/2017,[]
WMS Global Services (PG0402301-M),,8/28/2017,[]
World Dirham Berhad (970807-X),,7/22/2013,[]
Worldwide Community Programme,,9/15/2016,['https://wcp2u.com/']
WSL Merchants Pte Ltd,,10/16/2012,"['www.worldshopperslink.com', 'www.click4dollar.com']"
Xcelent Job Trading (001971755P),,1/9/2017,[]
XIG Limited,,8/28/2017,"['www.xiglimitedmalaysia.com\xa0', 'https://my.xiglimited.com\xa0 https://www.facebook.com/xiglimitedofficial https://www.facebook.com/myduitcom']"
XM Forex Malaysia,,12/6/2017,['https://www.xm.com/my']
XOC7,,7/13/2012,[]
YDS Corporate Line Sdn Bhd (877697-P),,5/2/2013,['http://yds2u.com']
YDS Holding Groups Bhd (987797-T),,5/2/2013,['http://yds2u.com']
ZEMC Sdn Bhd (1216874-A),,6/22/2017,[]
Zenith Gold International Limited (ZGI),,2/25/2016,"['http://www.zenithgolds.com', 'http://zenithgoldrocks.wordpress.com http://zenithgoldpowerteam.blogspot.my']"
Zeta Capital Management,,7/13/2012,[]
Zill Akasha Gemilang Enterprise,,4/10/2015,[]
Zness.com,,9/25/2013,['http://zness.com']
